id,date,value
SA_Commodities_Less_Food_Energy_Commodities,2023-12-01,163.559
SA_Commodities_Less_Food_Energy_Commodities,2023-11-01,163.816
SA_Commodities_Less_Food_Energy_Commodities,2023-10-01,164.545
SA_Commodities_Less_Food_Energy_Commodities,2023-09-01,164.502
SA_Commodities_Less_Food_Energy_Commodities,2023-08-01,164.523
SA_Commodities_Less_Food_Energy_Commodities,2023-07-01,164.47
SA_Commodities_Less_Food_Energy_Commodities,2023-06-01,164.734
SA_Commodities_Less_Food_Energy_Commodities,2023-05-01,164.754
SA_Commodities_Less_Food_Energy_Commodities,2023-04-01,164.722
SA_Commodities_Less_Food_Energy_Commodities,2023-03-01,164.631
SA_Commodities_Less_Food_Energy_Commodities,2023-02-01,164.129
SA_Commodities_Less_Food_Energy_Commodities,2023-01-01,163.551
NSA_Services_Less_Energy_Services,2024-07-01,417.592
NSA_Services_Less_Energy_Services,2024-06-01,416.733
NSA_Services_Less_Energy_Services,2024-05-01,416.048
NSA_Services_Less_Energy_Services,2024-04-01,414.828
NSA_Services_Less_Energy_Services,2024-03-01,413.179
NSA_Services_Less_Energy_Services,2024-02-01,410.432
NSA_Services_Less_Energy_Services,2024-01-01,408.051
NSA_Services_Less_Energy_Services,2023-12-01,405.338
NSA_Services_Less_Energy_Services,2023-11-01,404.143
NSA_Services_Less_Energy_Services,2023-10-01,402.549
NSA_Services_Less_Energy_Services,2023-09-01,401.234
NSA_Services_Less_Energy_Services,2023-08-01,399.219
NSA_Services_Less_Energy_Services,2023-07-01,398.002
NSA_Services_Less_Energy_Services,2023-06-01,396.646
NSA_Services_Less_Energy_Services,2023-05-01,395.295
NSA_Services_Less_Energy_Services,2023-04-01,393.769
NSA_Services_Less_Energy_Services,2023-03-01,392.024
NSA_Services_Less_Energy_Services,2023-02-01,390.07
NSA_Services_Less_Energy_Services,2023-01-01,387.258
SA_Services_Less_Energy_Services,2024-07-01,417.227
SA_Services_Less_Energy_Services,2024-06-01,415.939
SA_Services_Less_Energy_Services,2024-05-01,415.396
SA_Services_Less_Energy_Services,2024-04-01,414.487
SA_Services_Less_Energy_Services,2024-03-01,412.782
SA_Services_Less_Energy_Services,2024-02-01,410.627
SA_Services_Less_Energy_Services,2024-01-01,408.758
SA_Services_Less_Energy_Services,2023-12-01,406.073
SA_Services_Less_Energy_Services,2023-11-01,404.518
SA_Services_Less_Energy_Services,2023-10-01,402.671
SA_Services_Less_Energy_Services,2023-09-01,401.323
SA_Services_Less_Energy_Services,2023-08-01,399.237
SA_Services_Less_Energy_Services,2023-07-01,397.737
SA_Services_Less_Energy_Services,2023-06-01,396.049
SA_Services_Less_Energy_Services,2023-05-01,394.83
SA_Services_Less_Energy_Services,2023-04-01,393.515
SA_Services_Less_Energy_Services,2023-03-01,391.654
SA_Services_Less_Energy_Services,2023-02-01,390.172
SA_Services_Less_Energy_Services,2023-01-01,387.786
NSA_Shelter,2024-07-01,401.545
NSA_Shelter,2024-06-01,400.234
NSA_Shelter,2024-05-01,399.274
NSA_Shelter,2024-04-01,397.539
NSA_Shelter,2024-03-01,396.174
NSA_Shelter,2024-02-01,393.906
NSA_Shelter,2024-01-01,391.896
NSA_Shelter,2023-12-01,389.433
NSA_Shelter,2023-11-01,387.892
NSA_Shelter,2023-10-01,386.435
NSA_Shelter,2023-09-01,385.433
NSA_Shelter,2023-08-01,383.221
NSA_Shelter,2023-07-01,382.226
NSA_Shelter,2023-06-01,380.594
NSA_Shelter,2023-05-01,378.776
NSA_Shelter,2023-04-01,376.636
NSA_Shelter,2023-03-01,374.971
NSA_Shelter,2023-02-01,372.51
NSA_Shelter,2023-01-01,369.585
SA_Shelter,2024-07-01,401.06
SA_Shelter,2024-06-01,399.546
SA_Shelter,2024-05-01,398.867
SA_Shelter,2024-04-01,397.268
SA_Shelter,2024-03-01,395.772
SA_Shelter,2024-02-01,394.126
SA_Shelter,2024-01-01,392.452
SA_Shelter,2023-12-01,389.979
SA_Shelter,2023-11-01,388.398
SA_Shelter,2023-10-01,386.675
SA_Shelter,2023-09-01,385.37
SA_Shelter,2023-08-01,383.185
SA_Shelter,2023-07-01,381.85
SA_Shelter,2023-06-01,380.032
SA_Shelter,2023-05-01,378.464
SA_Shelter,2023-04-01,376.434
SA_Shelter,2023-03-01,374.62
SA_Shelter,2023-02-01,372.662
SA_Shelter,2023-01-01,369.999
